+----+---------------------------------------------------+------------------+----------------------------+
|    | Model name                                        | Type of system   |   Operating system version |
| 17 | Смартфон Vivo Y33s 4/128 ГБ, черный               | Android          |                         11 |
| 18 | Смартфон Vivo Y33s 4/128 ГБ, голубой              | Android          |                         11 |
| 24 | Смартфон Vivo Y33s 4/128 ГБ, черный               | Android          |                         11 |
| 25 | Смартфон Vivo Y33s 4/128 ГБ, голубой              | Android          |                         11 |
| 35 | Смартфон Vivo Y33s 4/128 ГБ, черный               | Android          |                         11 |
| 37 | Смартфон Vivo Y33s 4/128 ГБ, черный               | Android          |                         11 |
| 38 | Смартфон Vivo Y33s 4/128 ГБ, голубой              | Android          |                         11 |
| 41 | Смартфон Vivo Y33s 4/128 ГБ, черный               | Android          |                         11 |
| 97 | Смартфон Vivo Y33s 4/128 ГБ, черный               | Android          |                         11 |
| 43 | Смартфон Vivo Y33s 4/128 ГБ, черный               | Android          |                         11 |
| 53 | Смартфон Tecno Spark Go 2022 2/32 ГБ, зеленый     | Android          |                         11 |
| 59 | Смартфон Xiaomi 11 Lite 5G NE 8/128 ГБ, черный    | Android          |                         11 |
| 58 | Смартфон Tecno Spark Go 2022 2/32 ГБ, серебристый | Android          |                         11 |
| 57 | Смартфон Tecno Spark Go 2022 2/32 ГБ, синий       | Android          |                         11 |
| 56 | Смартфон Tecno Spark Go 2022 2/32 ГБ, зеленый     | Android          |                         11 |
| 55 | Смартфон Vivo Y33s 4/128 ГБ, черный               | Android          |                         11 |
| 54 | Смартфон Tecno Spark Go 2022 2/32 ГБ, серебристый | Android          |                         11 |
| 52 | Смартфон Tecno Spark Go 2022 2/32 ГБ, синий       | Android          |                         11 |
| 44 | Смартфон Vivo Y33s 4/128 ГБ, голубой              | Android          |                         11 |
| 51 | Смартфон Vivo Y33s 4/128 ГБ, черный               | Android          |                         11 |
| 50 | Смартфон Vivo Y33s 4/128 ГБ, голубой              | Android          |                         11 |
|  1 | Смартфон realme C25S 4/128 ГБ, синий              | Android          |                         11 |
| 48 | Смартфон Tecno Spark Go 2022 2/32 ГБ, зеленый     | Android          |                         11 |
| 47 | Смартфон Tecno Spark Go 2022 2/32 ГБ, синий       | Android          |                         11 |
| 36 | Смартфон Xiaomi Redmi 9C 3/64 ГБ, зеленый         | Android          |                         10 |
| 42 | Смартфон Xiaomi Redmi 9C 3/64 ГБ, зеленый         | Android          |                         10 |
|  0 | Смартфон Apple iPhone 12 64 ГБ, белый             | IOS              |                         14 |
|  1 | Смартфон Apple iPhone 12 64 ГБ, зеленый           | IOS              |                         14 |
+----+---------------------------------------------------+------------------+----------------------------+
